timestamp,epoch,step,gpu_util_percent,gpu_power_w,num_gpus,total_gpu_power_w,cpu_util_percent,note
09:24:19,1,431,67.0,416.895,1,416.895,13.2,real_measurement
09:24:24,1,576,72.0,424.826,1,424.826,14.3,real_measurement
09:24:29,1,720,74.0,417.404,1,417.404,14.7,real_measurement
09:24:39,1,793,0.0,122.543,1,122.543,12.3,real_measurement
09:24:44,1,937,69.0,418.546,1,418.546,10.4,real_measurement
09:24:49,1,1082,68.0,411.547,1,411.547,11.4,real_measurement
09:24:54,1,1226,72.0,415.548,1,415.548,14.6,real_measurement
09:24:59,1,1371,74.0,418.611,1,418.611,9.9,real_measurement
09:25:07,1,1481,0.0,122.832,1,122.832,8.5,real_measurement
09:25:12,1,1625,71.0,416.634,1,416.634,12.6,real_measurement
09:25:17,1,1769,71.0,415.246,1,415.246,10.1,real_measurement
09:25:22,1,1912,70.0,419.451,1,419.451,14.8,real_measurement
09:25:33,1,2020,0.0,123.866,1,123.866,10.3,real_measurement
09:25:38,1,2163,71.0,408.455,1,408.455,11.1,real_measurement
09:25:43,1,2306,73.0,416.559,1,416.559,13.1,real_measurement
09:25:53,1,2391,0.0,122.544,1,122.544,10.5,real_measurement
09:25:58,1,2533,69.0,416.263,1,416.263,13.4,real_measurement
09:26:03,1,2674,66.0,416.663,1,416.663,14.1,real_measurement
09:26:09,1,2746,0.0,123.018,1,123.018,3.9,real_measurement
09:26:14,1,2887,74.0,408.601,1,408.601,13.5,real_measurement
09:26:19,1,3030,71.0,409.475,1,409.475,14.6,real_measurement
09:26:24,1,3173,73.0,413.531,1,413.531,13.6,real_measurement
09:26:29,1,3315,74.0,413.187,1,413.187,13.3,real_measurement
09:26:34,1,3458,68.0,412.751,1,412.751,14.2,real_measurement
09:26:39,1,3602,69.0,415.639,1,415.639,11.6,real_measurement
09:26:44,1,3745,72.0,414.897,1,414.897,14.7,real_measurement
09:26:49,1,3891,76.0,427.134,1,427.134,8.5,real_measurement
09:26:55,1,3990,0.0,123.002,1,123.002,13.1,real_measurement
09:27:00,1,4130,74.0,428.295,1,428.295,14.0,real_measurement
09:27:05,1,4281,75.0,430.054,1,430.054,11.3,real_measurement
09:27:10,1,4437,76.0,442.175,1,442.175,14.6,real_measurement
09:27:15,1,4484,72.0,412.204,1,412.204,9.6,real_measurement
09:27:20,1,4631,74.0,422.254,1,422.254,12.9,real_measurement
09:27:25,1,4784,74.0,435.199,1,435.199,12.2,real_measurement
09:27:30,1,4939,75.0,439.056,1,439.056,8.9,real_measurement
09:27:35,1,5093,71.0,421.802,1,421.802,15.0,real_measurement
09:27:40,1,5237,75.0,422.673,1,422.673,14.7,real_measurement
09:27:45,1,5388,78.0,439.45,1,439.45,10.1,real_measurement
09:27:50,1,5529,74.0,417.739,1,417.739,11.7,real_measurement
09:27:55,1,5672,74.0,419.536,1,419.536,11.1,real_measurement
09:28:00,1,5827,76.0,440.555,1,440.555,11.2,real_measurement
